I have a headache.	Masakit ulo ko.
They said that the drug is coming from China.	Sinabi nila na nanggagaling daw ang gamot sa Tsina.
He said that the drug will come from China.	Sinabi niya na manggagaling daw ang gamot sa Tsina.
She said that the drug will come from China.	Sinabi niya na manggagaling daw ang gamot sa Tsina.
He said that the drug will come from China.	Sinabi niya na magmumula daw ang gamot sa Tsina.
She said that the drug will come from China.	Sinabi niya na magmumula daw ang gamot sa Tsina.
They said that the drug will come from China.	Sinabi nila na magmumula daw ang gamot sa Tsina.
They said that the drug will come from China.	Sinabi nila na manggagaling daw ang gamot sa Tsina.
He said that the illegal drug came from China.	Sinabi niya na nanggaling daw ang bawal na gamot sa Tsina.
She said that the illegal drug came from China.	Sinabi niya na nanggaling daw ang bawal na gamot sa Tsina.
He said that the illegal drug came from China.	Sinabi niya na nagmula daw ang bawal na gamot sa Tsina.
She said that the illegal drug came from China.	Sinabi niya na nagmula daw ang bawal na gamot sa Tsina.
They said that the illegal drug came from China.	Sinabi nila na nagmula daw ang bawal na gamot sa Tsina.
They said that the illegal drug came from China.	Sinabi nila na nanggaling daw ang bawal na gamot sa Tsina.
He said that the illegal drug is coming from China.	Sinabi niya na nanggagaling daw ang bawal na gamot sa Tsina.
She said that the illegal drug is coming from China.	Sinabi niya na nanggagaling daw ang bawal na gamot sa Tsina.
He said that the illegal drug is coming from China.	Sinabi niya na nagmumula daw ang bawal na gamot sa Tsina.
She said that the illegal drug is coming from China.	Sinabi niya na nagmumula daw ang bawal na gamot sa Tsina.
They said that the illegal drug is coming from China.	Sinabi nila na nagmumula daw ang bawal na gamot sa Tsina.
They said that the illegal drug is coming from China.	Sinabi nila na nanggagaling daw ang bawal na gamot sa Tsina.
He said that the illegal drug will come from China.	Sinabi niya na manggagaling daw ang bawal na gamot sa Tsina.
She said that the illegal drug will come from China.	Sinabi niya na manggagaling daw ang bawal na gamot sa Tsina.
He said that the illegal drug will come from China.	Sinabi niya na magmumula daw ang bawal na gamot sa Tsina.
She said that the illegal drug will come from China.	Sinabi niya na magmumula daw ang bawal na gamot sa Tsina.
They said that the illegal drug will come from China.	Sinabi nila na magmumula daw ang bawal na gamot sa Tsina.
They said that the illegal drug will come from China.	Sinabi nila na manggagaling daw ang bawal na gamot sa Tsina.
He said that the doctor came from China.	Sinabi niya na nanggaling daw ang doktor sa Tsina.
She said that the doctor came from China.	Sinabi niya na nanggaling daw ang doktor sa Tsina.
He said that the doctor came from China.	Sinabi niya na nagmula daw ang doktor sa Tsina.
She said that the doctor came from China.	Sinabi niya na nagmula daw ang doktor sa Tsina.
They said that the doctor came from China.	Sinabi nila na nagmula daw ang doktor sa Tsina.
They said that the doctor came from China.	Sinabi nila na nanggaling daw ang doktor sa Tsina.
He said that the doctor is coming from China.	Sinabi niya na nanggagaling daw ang doktor sa Tsina.
She said that the doctor is coming from China.	Sinabi niya na nanggagaling daw ang doktor sa Tsina.
He said that the doctor is coming from China.	Sinabi niya na nagmumula daw ang doktor sa Tsina.
She said that the doctor is coming from China.	Sinabi niya na nagmumula daw ang doktor sa Tsina.
They said that the doctor is coming from China.	Sinabi nila na nagmumula daw ang doktor sa Tsina.
They said that the doctor is coming from China.	Sinabi nila na nanggagaling daw ang doktor sa Tsina.
He said that the doctor will come from China.	Sinabi niya na manggagaling daw ang doktor sa Tsina.
She said that the doctor will come from China.	Sinabi niya na manggagaling daw ang doktor sa Tsina.
He said that the doctor will come from China.	Sinabi niya na magmumula daw ang doktor sa Tsina.
She said that the doctor will come from China.	Sinabi niya na magmumula daw ang doktor sa Tsina.
They said that the doctor will come from China.	Sinabi nila na magmumula daw ang doktor sa Tsina.
They said that the doctor will come from China.	Sinabi nila na manggagaling daw ang doktor sa Tsina.
He will study medicine in China.	Mag-aaral siya ng medisina sa Tsina.
He is studying medicine in China.	Nag-aaral siya ng medisina sa Tsina.
He studied medicine in China.	Nag-aral siya ng medisina sa Tsina.
He will consult a doctor in China.	Magpapagamot siya sa isang doktor sa Tsina.
He consulted a doctor in China.	Nagpagamot siya sa isang doktor sa Tsina.
He was hospitalized in China.	Naospital siya sa Tsina.
He got his disease in China.	Nakuha niya ang sakin niya sa Tsina.
He gained weight due to his stay in China.	Tumaba siya sa pagtira niya sa Tsina.
He needs to consult a doctor in China.	Kailangan niya magpagamot sa isang doktor sa Tsina.
He went to China to consult a doctor.	Pumunta siyang Tsina para magpagamot sa isang doktor.
He will go to China to consult a doctor.	Pupunta siyang Tsina para magpagamot sa isang doktor.
He is on his way to China to consult a doctor.	Papunta siyang Tsina para magpagamot sa isang doktor.
His parents are asking him to go to China to consult a doctor.	Pinapapunta siya ng kanyang mga magulang sa Tsina para magpagamot.
His mother is asking him to go to China to consult a doctor.	Pinapapunta siya ng kanyang nanay sa Tsina para magpagamot.
His mother is asking him to go to China to consult a doctor.	Pinapapunta siya ng kanyang ina sa Tsina para magpagamot.
His father is asking him to go to China to consult a doctor.	Pinapapunta siya ng kanyang tatay sa Tsina para magpagamot.
His father is asking him to go to China to consult a doctor.	Pinapapunta siya ng kanyang ama sa Tsina para magpagamot.
His siblings are asking him to go to China to consult a doctor.	Pinapapunta siya ng kanyang mga kapatid sa Tsina para magpagamot.
His children are asking him to go to China to consult a doctor.	Pinapapunta siya ng kanyang mga anak sa Tsina para magpagamot.
His spouse is asking him to go to China to consult a doctor.	Pinapapunta siya ng kanyang asawa sa Tsina para magpagamot.
His parents are asking him to go to China to medicine there.	Pinapapunta siya ng kanyang mga magulang sa Tsina para doon mag-aral ng  medisina.
His parents asked him to go to China to consult a doctor.	Pinapunta siya ng kanyang mga magulang sa Tsina para magpagamot.
His mother asked him to go to China to consult a doctor.	Pinapunta siya ng kanyang nanay sa Tsina para magpagamot.
His mother asked him to go to China to consult a doctor.	Pinapunta siya ng kanyang ina sa Tsina para magpagamot.
His father asked him to go to China to consult a doctor.	Pinapunta siya ng kanyang tatay sa Tsina para magpagamot.
His father asked him to go to China to consult a doctor.	Pinapunta siya ng kanyang ama sa Tsina para magpagamot.
His siblings asked him to go to China to consult a doctor.	Pinapunta siya ng kanyang mga kapatid sa Tsina para magpagamot.
His children asked him to go to China to consult a doctor.	Pinapunta siya ng kanyang mga anak sa Tsina para magpagamot.
His spouse asked him to go to China to consult a doctor.	Pinapunta siya ng kanyang asawa sa Tsina para magpagamot.
His parents asked him to go to China to medicine there.	Pinapunta siya ng kanyang mga magulang sa Tsina para doon mag-aral ng  medisina.
That disease can be acquired in China.	Nakukuha ang sakit na iyan sa Tsina.
There are many good doctors in China.	Maraming magagaling na mga doktor sa Tsina.
Our doctors are leaving to work in China.	Ang mga doktor natin ay umaalis para magtrabaho sa Tsina.
They will consult a doctor in China.	Magpapagamot sila sa isang doktor sa Tsina.
They consulted a doctor in China.	Nagpagamot sila sa isang doktor sa Tsina.
They were hospitalized in China.	Naospital sila sa Tsina.
They got their disease in China.	Nakuha niya ang sakin niya sa Tsina.
They gained weight due to their stay in China.	Tumaba sila sa pagtira niya sa Tsina.
They need to consult a doctor in China.	Kailangan niya magpagamot sa isang doktor sa Tsina.
They went to China to consult a doctor.	Pumunta silang Tsina para magpagamot sa isang doktor.
They will go to China to consult a doctor.	Pupunta silang Tsina para magpagamot sa isang doktor.
They are on their way to China to consult a doctor.	Papunta silang Tsina para magpagamot sa isang doktor.
She will study medicine in China.	Mag-aaral siya ng medisina sa Tsina.
She is studying medicine in China.	Nag-aaral siya ng medisina sa Tsina.
She studied medicine in China.	Nag-aral siya ng medisina sa Tsina.
She will consult a doctor in China.	Magpapagamot siya sa isang doktor sa Tsina.
She consulted a doctor in China.	Nagpagamot siya sa isang doktor sa Tsina.
She was hospitalized in China.	Naospital siya sa Tsina.
She got her disease in China.	Nakuha niya ang sakin niya sa Tsina.
She gained weight due to her stay in China.	Tumaba siya sa pagtira niya sa Tsina.
She needs to consult a doctor in China.	Kailangan niya magpagamot sa isang doktor sa Tsina.
She went to China to consult a doctor.	Pumunta siyang Tsina para magpagamot sa isang doktor.
She will go to China to consult a doctor.	Pupunta siyang Tsina para magpagamot sa isang doktor.
She is on her way to China to consult a doctor.	Papunta siyang Tsina para magpagamot sa isang doktor.
Her parents are asking her to go to China to consult a doctor.	Pinapapunta siya ng kanyang mga magulang sa Tsina para magpagamot.
Her mother is asking her to go to China to consult a doctor.	Pinapapunta siya ng kanyang nanay sa Tsina para magpagamot.
Her mother is asking her to go to China to consult a doctor.	Pinapapunta siya ng kanyang ina sa Tsina para magpagamot.
Her father is asking her to go to China to consult a doctor.	Pinapapunta siya ng kanyang tatay sa Tsina para magpagamot.
Her father is asking her to go to China to consult a doctor.	Pinapapunta siya ng kanyang ama sa Tsina para magpagamot.
Her siblings are asking her to go to China to consult a doctor.	Pinapapunta siya ng kanyang mga kapatid sa Tsina para magpagamot.
Her children are asking her to go to China to consult a doctor.	Pinapapunta siya ng kanyang mga anak sa Tsina para magpagamot.
Her spouse is asking her to go to China to consult a doctor.	Pinapapunta siya ng kanyang asawa sa Tsina para magpagamot.
Her parents are asking her to go to China to medicine there.	Pinapapunta siya ng kanyang mga magulang sa Tsina para doon mag-aral ng  medisina.
Her parents asked her to go to China to consult a doctor.	Pinapunta siya ng kanyang mga magulang sa Tsina para magpagamot.
Her mother asked her to go to China to consult a doctor.	Pinapunta siya ng kanyang nanay sa Tsina para magpagamot.
Her mother asked her to go to China to consult a doctor.	Pinapunta siya ng kanyang ina sa Tsina para magpagamot.
Her father asked her to go to China to consult a doctor.	Pinapunta siya ng kanyang tatay sa Tsina para magpagamot.
Her father asked her to go to China to consult a doctor.	Pinapunta siya ng kanyang ama sa Tsina para magpagamot.
Her siblings asked her to go to China to consult a doctor.	Pinapunta siya ng kanyang mga kapatid sa Tsina para magpagamot.
Her children asked her to go to China to consult a doctor.	Pinapunta siya ng kanyang mga anak sa Tsina para magpagamot.
Her spouse asked her to go to China to consult a doctor.	Pinapunta siya ng kanyang asawa sa Tsina para magpagamot.
Her parents asked her to go to China to medicine there.	Pinapunta siya ng kanyang mga magulang sa Tsina para doon mag-aral ng  medisina.
In countries like China drugs are regulated at the national level.	Sa mga bansang tulad ng Tsina ang mga gamot ay nireregula sa pambansang lebel.
The drug came from Germany.	Nanggaling ang gamot sa Alemanya.
The drug came from Germany.	Nagmula ang gamot sa Alemanya.
The drug is coming from Germany.	Nagmumula ang gamot sa Alemanya.
The drug will come from Germany.	Manggagaling ang gamot sa Alemanya.
He said that the drug came from Germany.	Sinabi niya na nanggaling daw ang gamot sa Alemanya.
She said that the drug came from Germany.	Sinabi niya na nanggaling daw ang gamot sa Alemanya.
He said that the drug came from Germany.	Sinabi niya na nagmula daw ang gamot sa Alemanya.
She said that the drug came from Germany.	Sinabi niya na nagmula daw ang gamot sa Alemanya.
They said that the drug came from Germany.	Sinabi nila na nagmula daw ang gamot sa Alemanya.
They said that the drug came from Germany.	Sinabi nila na nanggaling daw ang gamot sa Alemanya.
He said that the drug is coming from Germany.	Sinabi niya na nanggagaling daw ang gamot sa Alemanya.
She said that the drug is coming from Germany.	Sinabi niya na nanggagaling daw ang gamot sa Alemanya.
He said that the drug is coming from Germany.	Sinabi niya na nagmumula daw ang gamot sa Alemanya.
She said that the drug is coming from Germany.	Sinabi niya na nagmumula daw ang gamot sa Alemanya.
They said that the drug is coming from Germany.	Sinabi nila na nagmumula daw ang gamot sa Alemanya.
They said that the drug is coming from Germany.	Sinabi nila na nanggagaling daw ang gamot sa Alemanya.
He said that the drug will come from Germany.	Sinabi niya na manggagaling daw ang gamot sa Alemanya.
She said that the drug will come from Germany.	Sinabi niya na manggagaling daw ang gamot sa Alemanya.
He said that the drug will come from Germany.	Sinabi niya na magmumula daw ang gamot sa Alemanya.
She said that the drug will come from Germany.	Sinabi niya na magmumula daw ang gamot sa Alemanya.
They said that the drug will come from Germany.	Sinabi nila na magmumula daw ang gamot sa Alemanya.
They said that the drug will come from Germany.	Sinabi nila na manggagaling daw ang gamot sa Alemanya.
He said that the illegal drug came from Germany.	Sinabi niya na nanggaling daw ang bawal na gamot sa Alemanya.
She said that the illegal drug came from Germany.	Sinabi niya na nanggaling daw ang bawal na gamot sa Alemanya.
He said that the illegal drug came from Germany.	Sinabi niya na nagmula daw ang bawal na gamot sa Alemanya.
She said that the illegal drug came from Germany.	Sinabi niya na nagmula daw ang bawal na gamot sa Alemanya.
They said that the illegal drug came from Germany.	Sinabi nila na nagmula daw ang bawal na gamot sa Alemanya.
They said that the illegal drug came from Germany.	Sinabi nila na nanggaling daw ang bawal na gamot sa Alemanya.
He said that the illegal drug is coming from Germany.	Sinabi niya na nanggagaling daw ang bawal na gamot sa Alemanya.
She said that the illegal drug is coming from Germany.	Sinabi niya na nanggagaling daw ang bawal na gamot sa Alemanya.
He said that the illegal drug is coming from Germany.	Sinabi niya na nagmumula daw ang bawal na gamot sa Alemanya.
She said that the illegal drug is coming from Germany.	Sinabi niya na nagmumula daw ang bawal na gamot sa Alemanya.
They said that the illegal drug is coming from Germany.	Sinabi nila na nagmumula daw ang bawal na gamot sa Alemanya.
They said that the illegal drug is coming from Germany.	Sinabi nila na nanggagaling daw ang bawal na gamot sa Alemanya.
He said that the illegal drug will come from Germany.	Sinabi niya na manggagaling daw ang bawal na gamot sa Alemanya.
She said that the illegal drug will come from Germany.	Sinabi niya na manggagaling daw ang bawal na gamot sa Alemanya.
He said that the illegal drug will come from Germany.	Sinabi niya na magmumula daw ang bawal na gamot sa Alemanya.
She said that the illegal drug will come from Germany.	Sinabi niya na magmumula daw ang bawal na gamot sa Alemanya.
They said that the illegal drug will come from Germany.	Sinabi nila na magmumula daw ang bawal na gamot sa Alemanya.
They said that the illegal drug will come from Germany.	Sinabi nila na manggagaling daw ang bawal na gamot sa Alemanya.
He said that the doctor came from Germany.	Sinabi niya na nanggaling daw ang doktor sa Alemanya.
She said that the doctor came from Germany.	Sinabi niya na nanggaling daw ang doktor sa Alemanya.
He said that the doctor came from Germany.	Sinabi niya na nagmula daw ang doktor sa Alemanya.
She said that the doctor came from Germany.	Sinabi niya na nagmula daw ang doktor sa Alemanya.
They said that the doctor came from Germany.	Sinabi nila na nagmula daw ang doktor sa Alemanya.
They said that the doctor came from Germany.	Sinabi nila na nanggaling daw ang doktor sa Alemanya.
He said that the doctor is coming from Germany.	Sinabi niya na nanggagaling daw ang doktor sa Alemanya.
She said that the doctor is coming from Germany.	Sinabi niya na nanggagaling daw ang doktor sa Alemanya.
He said that the doctor is coming from Germany.	Sinabi niya na nagmumula daw ang doktor sa Alemanya.
She said that the doctor is coming from Germany.	Sinabi niya na nagmumula daw ang doktor sa Alemanya.
They said that the doctor is coming from Germany.	Sinabi nila na nagmumula daw ang doktor sa Alemanya.
They said that the doctor is coming from Germany.	Sinabi nila na nanggagaling daw ang doktor sa Alemanya.
He said that the doctor will come from Germany.	Sinabi niya na manggagaling daw ang doktor sa Alemanya.
She said that the doctor will come from Germany.	Sinabi niya na manggagaling daw ang doktor sa Alemanya.
He said that the doctor will come from Germany.	Sinabi niya na magmumula daw ang doktor sa Alemanya.
She said that the doctor will come from Germany.	Sinabi niya na magmumula daw ang doktor sa Alemanya.
They said that the doctor will come from Germany.	Sinabi nila na magmumula daw ang doktor sa Alemanya.
They said that the doctor will come from Germany.	Sinabi nila na manggagaling daw ang doktor sa Alemanya.
He will study medicine in Germany.	Mag-aaral siya ng medisina sa Alemanya.
He is studying medicine in Germany.	Nag-aaral siya ng medisina sa Alemanya.
He studied medicine in Germany.	Nag-aral siya ng medisina sa Alemanya.
He will consult a doctor in Germany.	Magpapagamot siya sa isang doktor sa Alemanya.
He consulted a doctor in Germany.	Nagpagamot siya sa isang doktor sa Alemanya.
He was hospitalized in Germany.	Naospital siya sa Alemanya.
He got his disease in Germany.	Nakuha niya ang sakin niya sa Alemanya.
He gained weight due to his stay in Germany.	Tumaba siya sa pagtira niya sa Alemanya.
He needs to consult a doctor in Germany.	Kailangan niya magpagamot sa isang doktor sa Alemanya.
He went to Germany to consult a doctor.	Pumunta siyang Alemanya para magpagamot sa isang doktor.
He will go to Germany to consult a doctor.	Pupunta siyang Alemanya para magpagamot sa isang doktor.
He is on his way to Germany to consult a doctor.	Papunta siyang Alemanya para magpagamot sa isang doktor.
His parents are asking him to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang mga magulang sa Alemanya para magpagamot.
His mother is asking him to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang nanay sa Alemanya para magpagamot.
His mother is asking him to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang ina sa Alemanya para magpagamot.
His father is asking him to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang tatay sa Alemanya para magpagamot.
His father is asking him to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang ama sa Alemanya para magpagamot.
His siblings are asking him to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang mga kapatid sa Alemanya para magpagamot.
His children are asking him to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang mga anak sa Alemanya para magpagamot.
His spouse is asking him to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang asawa sa Alemanya para magpagamot.
His parents are asking him to go to Germany to medicine there.	Pinapapunta siya ng kanyang mga magulang sa Alemanya para doon mag-aral ng  medisina.
His parents asked him to go to Germany to consult a doctor.	Pinapunta siya ng kanyang mga magulang sa Alemanya para magpagamot.
His mother asked him to go to Germany to consult a doctor.	Pinapunta siya ng kanyang nanay sa Alemanya para magpagamot.
His mother asked him to go to Germany to consult a doctor.	Pinapunta siya ng kanyang ina sa Alemanya para magpagamot.
His father asked him to go to Germany to consult a doctor.	Pinapunta siya ng kanyang tatay sa Alemanya para magpagamot.
His father asked him to go to Germany to consult a doctor.	Pinapunta siya ng kanyang ama sa Alemanya para magpagamot.
His siblings asked him to go to Germany to consult a doctor.	Pinapunta siya ng kanyang mga kapatid sa Alemanya para magpagamot.
His children asked him to go to Germany to consult a doctor.	Pinapunta siya ng kanyang mga anak sa Alemanya para magpagamot.
His spouse asked him to go to Germany to consult a doctor.	Pinapunta siya ng kanyang asawa sa Alemanya para magpagamot.
His parents asked him to go to Germany to medicine there.	Pinapunta siya ng kanyang mga magulang sa Alemanya para doon mag-aral ng  medisina.
That disease can be acquired in Germany.	Nakukuha ang sakit na iyan sa Alemanya.
There are many good doctors in Germany.	Maraming magagaling na mga doktor sa Alemanya.
Our doctors are leaving to work in Germany.	Ang mga doktor natin ay umaalis para magtrabaho sa Alemanya.
They will consult a doctor in Germany.	Magpapagamot sila sa isang doktor sa Alemanya.
They consulted a doctor in Germany.	Nagpagamot sila sa isang doktor sa Alemanya.
They were hospitalized in Germany.	Naospital sila sa Alemanya.
They got their disease in Germany.	Nakuha niya ang sakin niya sa Alemanya.
They gained weight due to their stay in Germany.	Tumaba sila sa pagtira niya sa Alemanya.
They need to consult a doctor in Germany.	Kailangan niya magpagamot sa isang doktor sa Alemanya.
They went to Germany to consult a doctor.	Pumunta silang Alemanya para magpagamot sa isang doktor.
They will go to Germany to consult a doctor.	Pupunta silang Alemanya para magpagamot sa isang doktor.
They are on their way to Germany to consult a doctor.	Papunta silang Alemanya para magpagamot sa isang doktor.
She will study medicine in Germany.	Mag-aaral siya ng medisina sa Alemanya.
She is studying medicine in Germany.	Nag-aaral siya ng medisina sa Alemanya.
She studied medicine in Germany.	Nag-aral siya ng medisina sa Alemanya.
She will consult a doctor in Germany.	Magpapagamot siya sa isang doktor sa Alemanya.
She consulted a doctor in Germany.	Nagpagamot siya sa isang doktor sa Alemanya.
She was hospitalized in Germany.	Naospital siya sa Alemanya.
She got her disease in Germany.	Nakuha niya ang sakin niya sa Alemanya.
She gained weight due to her stay in Germany.	Tumaba siya sa pagtira niya sa Alemanya.
She needs to consult a doctor in Germany.	Kailangan niya magpagamot sa isang doktor sa Alemanya.
She went to Germany to consult a doctor.	Pumunta siyang Alemanya para magpagamot sa isang doktor.
She will go to Germany to consult a doctor.	Pupunta siyang Alemanya para magpagamot sa isang doktor.
She is on her way to Germany to consult a doctor.	Papunta siyang Alemanya para magpagamot sa isang doktor.
Her parents are asking her to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang mga magulang sa Alemanya para magpagamot.
Her mother is asking her to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang nanay sa Alemanya para magpagamot.
Her mother is asking her to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang ina sa Alemanya para magpagamot.
Her father is asking her to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang tatay sa Alemanya para magpagamot.
Her father is asking her to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang ama sa Alemanya para magpagamot.
Her siblings are asking her to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang mga kapatid sa Alemanya para magpagamot.
Her children are asking her to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang mga anak sa Alemanya para magpagamot.
Her spouse is asking her to go to Germany to consult a doctor.	Pinapapunta siya ng kanyang asawa sa Alemanya para magpagamot.
Her parents are asking her to go to Germany to medicine there.	Pinapapunta siya ng kanyang mga magulang sa Alemanya para doon mag-aral ng  medisina.
Her parents asked her to go to Germany to consult a doctor.	Pinapunta siya ng kanyang mga magulang sa Alemanya para magpagamot.
Her mother asked her to go to Germany to consult a doctor.	Pinapunta siya ng kanyang nanay sa Alemanya para magpagamot.
Her mother asked her to go to Germany to consult a doctor.	Pinapunta siya ng kanyang ina sa Alemanya para magpagamot.
Her father asked her to go to Germany to consult a doctor.	Pinapunta siya ng kanyang tatay sa Alemanya para magpagamot.
Her father asked her to go to Germany to consult a doctor.	Pinapunta siya ng kanyang ama sa Alemanya para magpagamot.
Her siblings asked her to go to Germany to consult a doctor.	Pinapunta siya ng kanyang mga kapatid sa Alemanya para magpagamot.
Her children asked her to go to Germany to consult a doctor.	Pinapunta siya ng kanyang mga anak sa Alemanya para magpagamot.
Her spouse asked her to go to Germany to consult a doctor.	Pinapunta siya ng kanyang asawa sa Alemanya para magpagamot.
Her parents asked her to go to Germany to medicine there.	Pinapunta siya ng kanyang mga magulang sa Alemanya para doon mag-aral ng  medisina.
In countries like Germany drugs are regulated at the national level.	Sa mga bansang tulad ng Alemanya ang mga gamot ay nireregula sa pambansang lebel.
The drug came from France.	Nanggaling ang gamot sa Pransiya.
The drug came from France.	Nagmula ang gamot sa Pransiya.
The drug is coming from France.	Nagmumula ang gamot sa Pransiya.
The drug will come from France.	Manggagaling ang gamot sa Pransiya.
He said that the drug came from France.	Sinabi niya na nanggaling daw ang gamot sa Pransiya.
She said that the drug came from France.	Sinabi niya na nanggaling daw ang gamot sa Pransiya.
He said that the drug came from France.	Sinabi niya na nagmula daw ang gamot sa Pransiya.
She said that the drug came from France.	Sinabi niya na nagmula daw ang gamot sa Pransiya.
They said that the drug came from France.	Sinabi nila na nagmula daw ang gamot sa Pransiya.
They said that the drug came from France.	Sinabi nila na nanggaling daw ang gamot sa Pransiya.
He said that the drug is coming from France.	Sinabi niya na nanggagaling daw ang gamot sa Pransiya.
She said that the drug is coming from France.	Sinabi niya na nanggagaling daw ang gamot sa Pransiya.
He said that the drug is coming from France.	Sinabi niya na nagmumula daw ang gamot sa Pransiya.
She said that the drug is coming from France.	Sinabi niya na nagmumula daw ang gamot sa Pransiya.
They said that the drug is coming from France.	Sinabi nila na nagmumula daw ang gamot sa Pransiya.
They said that the drug is coming from France.	Sinabi nila na nanggagaling daw ang gamot sa Pransiya.
He said that the drug will come from France.	Sinabi niya na manggagaling daw ang gamot sa Pransiya.
She said that the drug will come from France.	Sinabi niya na manggagaling daw ang gamot sa Pransiya.
He said that the drug will come from France.	Sinabi niya na magmumula daw ang gamot sa Pransiya.
She said that the drug will come from France.	Sinabi niya na magmumula daw ang gamot sa Pransiya.
They said that the drug will come from France.	Sinabi nila na magmumula daw ang gamot sa Pransiya.
They said that the drug will come from France.	Sinabi nila na manggagaling daw ang gamot sa Pransiya.
He said that the illegal drug came from France.	Sinabi niya na nanggaling daw ang bawal na gamot sa Pransiya.
She said that the illegal drug came from France.	Sinabi niya na nanggaling daw ang bawal na gamot sa Pransiya.
He said that the illegal drug came from France.	Sinabi niya na nagmula daw ang bawal na gamot sa Pransiya.
She said that the illegal drug came from France.	Sinabi niya na nagmula daw ang bawal na gamot sa Pransiya.
They said that the illegal drug came from France.	Sinabi nila na nagmula daw ang bawal na gamot sa Pransiya.
They said that the illegal drug came from France.	Sinabi nila na nanggaling daw ang bawal na gamot sa Pransiya.
He said that the illegal drug is coming from France.	Sinabi niya na nanggagaling daw ang bawal na gamot sa Pransiya.
She said that the illegal drug is coming from France.	Sinabi niya na nanggagaling daw ang bawal na gamot sa Pransiya.
He said that the illegal drug is coming from France.	Sinabi niya na nagmumula daw ang bawal na gamot sa Pransiya.
She said that the illegal drug is coming from France.	Sinabi niya na nagmumula daw ang bawal na gamot sa Pransiya.
They said that the illegal drug is coming from France.	Sinabi nila na nagmumula daw ang bawal na gamot sa Pransiya.
They said that the illegal drug is coming from France.	Sinabi nila na nanggagaling daw ang bawal na gamot sa Pransiya.
He said that the illegal drug will come from France.	Sinabi niya na manggagaling daw ang bawal na gamot sa Pransiya.
She said that the illegal drug will come from France.	Sinabi niya na manggagaling daw ang bawal na gamot sa Pransiya.
He said that the illegal drug will come from France.	Sinabi niya na magmumula daw ang bawal na gamot sa Pransiya.
She said that the illegal drug will come from France.	Sinabi niya na magmumula daw ang bawal na gamot sa Pransiya.
They said that the illegal drug will come from France.	Sinabi nila na magmumula daw ang bawal na gamot sa Pransiya.
They said that the illegal drug will come from France.	Sinabi nila na manggagaling daw ang bawal na gamot sa Pransiya.
He said that the doctor came from France.	Sinabi niya na nanggaling daw ang doktor sa Pransiya.
She said that the doctor came from France.	Sinabi niya na nanggaling daw ang doktor sa Pransiya.
He said that the doctor came from France.	Sinabi niya na nagmula daw ang doktor sa Pransiya.
She said that the doctor came from France.	Sinabi niya na nagmula daw ang doktor sa Pransiya.
They said that the doctor came from France.	Sinabi nila na nagmula daw ang doktor sa Pransiya.
They said that the doctor came from France.	Sinabi nila na nanggaling daw ang doktor sa Pransiya.
He said that the doctor is coming from France.	Sinabi niya na nanggagaling daw ang doktor sa Pransiya.
She said that the doctor is coming from France.	Sinabi niya na nanggagaling daw ang doktor sa Pransiya.
He said that the doctor is coming from France.	Sinabi niya na nagmumula daw ang doktor sa Pransiya.
She said that the doctor is coming from France.	Sinabi niya na nagmumula daw ang doktor sa Pransiya.
They said that the doctor is coming from France.	Sinabi nila na nagmumula daw ang doktor sa Pransiya.
They said that the doctor is coming from France.	Sinabi nila na nanggagaling daw ang doktor sa Pransiya.
He said that the doctor will come from France.	Sinabi niya na manggagaling daw ang doktor sa Pransiya.
She said that the doctor will come from France.	Sinabi niya na manggagaling daw ang doktor sa Pransiya.
He said that the doctor will come from France.	Sinabi niya na magmumula daw ang doktor sa Pransiya.
She said that the doctor will come from France.	Sinabi niya na magmumula daw ang doktor sa Pransiya.
They said that the doctor will come from France.	Sinabi nila na magmumula daw ang doktor sa Pransiya.
They said that the doctor will come from France.	Sinabi nila na manggagaling daw ang doktor sa Pransiya.
He will study medicine in France.	Mag-aaral siya ng medisina sa Pransiya.
He is studying medicine in France.	Nag-aaral siya ng medisina sa Pransiya.
He studied medicine in France.	Nag-aral siya ng medisina sa Pransiya.
He will consult a doctor in France.	Magpapagamot siya sa isang doktor sa Pransiya.
He consulted a doctor in France.	Nagpagamot siya sa isang doktor sa Pransiya.
He was hospitalized in France.	Naospital siya sa Pransiya.
He got his disease in France.	Nakuha niya ang sakin niya sa Pransiya.
He gained weight due to his stay in France.	Tumaba siya sa pagtira niya sa Pransiya.
He needs to consult a doctor in France.	Kailangan niya magpagamot sa isang doktor sa Pransiya.
He went to France to consult a doctor.	Pumunta siyang Pransiya para magpagamot sa isang doktor.
